Frequency,M,Station,On,Off,Language,Site,TX Country,Days,Target,Power,Azimuth,Origin,Source
576000,,R.Algiers Int.,1400,1430,S,,Algeria,,North Africa,,,Algeria,EiBi
576000,,R.Algiers Int.,1430,1600,A,,Algeria,,North Africa,,,Algeria,EiBi
576000,,R.Algiers Int.,1600,1630,F,,Algeria,,North Africa,,,Algeria,EiBi
576000,,R.Algiers Int.,1630,1700,A,,Algeria,,North Africa,,,Algeria,EiBi
576000,,R.Algiers Int.,1700,1730,F,,Algeria,,North Africa,,,Algeria,EiBi
576000,,R.Algiers Int.,1730,1900,A,,Algeria,,North Africa,,,Algeria,EiBi
576000,,R.Algiers Int.,1900,1930,E,,Algeria,,North Africa,,,Algeria,EiBi
576000,,R.Algiers Int.,1930,2000,S,,Algeria,,North Africa,,,Algeria,EiBi
576000,,R.Algiers Int.,2000,2200,A,,Algeria,,North Africa,,,Algeria,EiBi
576000,,R.Algiers Int.,2200,2300,F,,Algeria,,North Africa,,,Algeria,EiBi
576000,,R.Algiers Int.,2300,2315,E,,Algeria,,North Africa,,,Algeria,EiBi
576000,,R.Algiers Int.,2315,2330,S,,Algeria,,North Africa,,,Algeria,EiBi
576000,,R.Algiers Int.,2330,0450,"A,F",,Algeria,,North Africa,,,Algeria,EiBi
576000,,IRIB Voice of I.R.Iran,0000,2400,A,,Iran,,Middle East,,,Iran,EiBi
585000,AM,IRIB Radio Farhang,0000,2400,Persian             1,Ghestagh,Iran,1234567,,000,,IRIB b25,Aoki
585000,AM,NHK AM Iwakuni,0000,2400,Japanese,Iwakuni,Japan,1234567,,0.3,,NHK AM,Aoki
585000,AM,NHK AM Koza,0000,2400,Japanese,Wakayama-Koza,Japan,1234567,,0.1,,NHK AM,Aoki
585000,AM,NHK AM Kushiro,0000,2400,Japanese,Kushiro,Japan,1234567,,10,,JOPG,Aoki
585000,AM,NHK AM Maizuru,0000,2400,Japanese,Maizuru,Japan,1234567,,0.5,,NHK AM,Aoki
585000,AM,RNE Radio Nacional,0000,2400,Spanish,Majadahonda (Madrid),Spain,1234567,,600,,RNE1,Aoki
585000,AM,SBA Radio Riyadh,0000,2400,Arabic              1,Riyadh,Saudi Arabia,1234567,,200,,SBA,Aoki
594000,AM,ALL INDIA RADIO,0030,0830,Bengal              1,Chinsurah,India,1234567,,000,,AIR a26,Aoki
594000,AM,ALL INDIA RADIO,0830,0900,English/Hindi       1,Chinsurah,India,1234567,,000,,AIR a26,Aoki
594000,AM,ALL INDIA RADIO,1000,1515,Bengal              1,Chinsurah,India,1234567,,000,,AIR a26,Aoki
594000,AM,ALL INDIA RADIO,1515,1545,Hindi/English       1,Chinsurah,India,1234567,,000,,AIR a26,Aoki
594000,AM,ALL INDIA RADIO,1545,1830,Bengal              1,Chinsurah,India,1234567,,000,,AIR a26,Aoki
594000,AM,NHK AM Tokyo,0000,2400,Japanese,Saitama-Kuki,Japan,1234567,,300,,JOAK,Aoki
594000,AM,PBS Xizang,2050,1805,Tibetan,Lhasa-Baiding 602,TIB,1234567,,200,ND,CTB,Aoki
594000,AM,R.Myanmar,2300,1700,Burmese,Naypyidaw,MMR,1234567,,200,,MRTV //5985,Aoki
594000,AM,SBA Radio Riyadh,0300,1500,Arabic,Duba,Saudi Arabia,1234567,,500,,SBA Genaral 1st,Aoki
594000,,AIR Akashvani Ext.Sce,0030,0900,BE,,India,,Bangla Desh,,,India,EiBi
594000,,AIR Akashvani Ext.Sce,1000,1515,BE,,India,,Bangla Desh,,,India,EiBi
594000,,AIR Akashvani Ext.Sce,1515,1530,HI,,India,,Bangla Desh,,,India,EiBi
594000,,AIR Akashvani Ext.Sce,1530,1545,E,,India,,Bangla Desh,,,India,EiBi
594000,,AIR Akashvani Ext.Sce,1545,1830,BE,,India,,Bangla Desh,,,India,EiBi
603000,AM,CHINA RADIO INTERNATIONAL,0400,0600,Vietnamese,Dongfang Hainan 871,China,1234567,,600,,CRI a26,Aoki
603000,AM,CHINA RADIO INTERNATIONAL,1100,1200,Cantonese,Dongfang Hainan 871,China,1234567,,600,,CRI a26,Aoki
603000,AM,CHINA RADIO INTERNATIONAL,1200,1700,Vietnamese,Dongfang Hainan 871,China,1234567,,600,,CRI a26,Aoki
603000,AM,CHINA RADIO INTERNATIONAL,2300,0100,Vietnamese,Dongfang Hainan 871,China,1234567,,600,,CRI a26,Aoki
603000,AM,KBS 2 Happy FM,2000,1800,Korean,Hwaseong,South Korea,1234567,,500,,HLSA 106.1,Aoki
603000,AM,NHK AM Obihiro,0000,2400,Japanese,Obihiro,Japan,1234567,,5,,JOOG,Aoki
603000,AM,NHK AM Okayama,0000,2400,Japanese,Okayama,Japan,1234567,,5,,JOKK,Aoki
603000,AM,Radio Romania Actualitati,0000,2400,Romanian,Oradea,Romania,1234567,,50,,SRR,Aoki
603000,AM,Smooth Radio,0000,2400,English,Littlebourne,United Kingdom,1234567,,0.4,ND,,Aoki
603000,,China Radio Int.,0000,0100,VN,,China,,South East Asia,,,China,EiBi
603000,,China Radio Int.,0400,0600,VN,,China,,South East Asia,,,China,EiBi
603000,,China Radio Int.,1100,1200,CA,,China,,South East Asia,,,China,EiBi
603000,,China Radio Int.,1200,1300,VN,,China,,South East Asia,,,China,EiBi
603000,,China Radio Int.,1300,1400,VN,,China,,South East Asia,,,China,EiBi
603000,,China Radio Int.,1400,1500,VN,,China,,South East Asia,,,China,EiBi
603000,,China Radio Int.,1500,1600,VN,,China,,South East Asia,,,China,EiBi
603000,,China Radio Int.,1600,1700,VN,,China,,South East Asia,,,China,EiBi
603000,,China Radio Int.,2300,2400,VN,,China,,South East Asia,,,China,EiBi
603000,,Radio Bukarest,1100,1200,D,,Romania,Mo-Sa,Romania,,,Romania,EiBi
612000,AM,4QR ABC Brisbane,0000,2400,English,Brisbane/Bald Hills,Australia,1234567,,50,,4QR,Aoki
612000,AM,BRTC Al-Quran,0000,2400,Arabic,Abu Hayan,Bahrain,1234567,,100,ND,BRTC,Aoki
612000,AM,KYRGYZ RADIO 1Birinchi Radio,0000,1200,Kyrgyz,Bishkek,Kyrgyzstan,1234567,,150,,KGR1,Aoki
612000,AM,NHK AM Fukuoka,0000,2400,Japanese,Fukuoka,Japan,1234567,,100,,JOLK,Aoki
612000,AM,Trans World Radio,1425,1455,Uighur,Bishkek,Kyrgyzstan,2345,,150,,TWR a26,Aoki
612000,AM,Trans World Radio,1455,1545,Kazakh,Bishkek,Kyrgyzstan,1234567,,150,,TWR a26,Aoki
612000,AM,Trans World Radio,1545,1600,Russian,Bishkek,Kyrgyzstan,1,,150,,TWR a26,Aoki
612000,AM,Trans World Radio,1545,1615,Russian,Bishkek,Kyrgyzstan,.234567,,150,,TWR a26,Aoki
612000,AM,Trans World Radio,1600,1615,Uzbek,Bishkek,Kyrgyzstan,1,,150,,TWR a26,Aoki
612000,AM,Trans World Radio,1615,1700,Uzbek,Bishkek,Kyrgyzstan,1234567,,150,,TWR a26,Aoki
612000,AM,Trans World Radio,1700,1715,Kazakh,Bishkek,Kyrgyzstan,167,,150,,TWR a26,Aoki
612000,AM,VO ISLAMIC REP.IRAN,0420,1520,Arabic,Qasr-e Shirin,Iran,1234567,,600,,IRIB a26,Aoki
612000,,IRIB Voice of I.R.Iran,0420,1520,A,,Iran,,Middle East,,,Iran,EiBi
612000,,Trans World Radio,1700,1715,KZ,,Kyrgyzstan relay,Fr-Su,Central Asia,,,USA,EiBi
612000,,Trans World Radio,1700,1730,,,Kyrgyzstan relay,Mo-Th,Central Asia,,,USA,EiBi
612000,,Trans World Radio,1715,1730,KG,,Kyrgyzstan relay,Fr-Su,Central Asia,,,USA,EiBi
621000,AM,NHK AM Asahikawa,0000,2400,Japanese,Asahikawa,Japan,1234567,,3,,JOCG,Aoki
621000,AM,NHK AM Iida,0000,2400,Japanese,Nagano-Iida,Japan,1234567,,1,,NHK AM,Aoki
621000,AM,NHK AM Nobeoka,0000,2400,Japanese,Miyazaki-Nobeoka,Japan,1234567,,1,,NHK AM,Aoki
621000,AM,Voice of Korea,0700,1250,Japanese,Chongjin-Nanam,North Korea,1234567,,500,,VOK a26,Aoki
621000,AM,Voice of Korea,2100,2350,Japanese,Chongjin-Nanam,North Korea,1234567,,500,ND,VOK a26,Aoki
621000,AM,Voice of Korea (KCBS),2000,2100,Korean,Chongjin-Nanam,North Korea,1234567,,500,ND,VOK a26,Aoki
621000,,Voice of Korea,0700,0900,J,,North Korea,,Japan,,,North Korea,EiBi
621000,,Voice of Korea,0900,1300,J,,North Korea,,Japan,,,North Korea,EiBi
621000,,Voice of Korea KCBS,2000,2050,K,,North Korea,,Far East,,,North Korea,EiBi
621000,,Voice of Korea,2100,2400,J,,North Korea,,Japan,,,North Korea,EiBi
